domain,segment_id,source,google,yandex,deepl
medical,1,"Insofar as our data support that rising TLC portends disease resolution in TTP, it may be noted that in STX-HUS (Shiga toxin–associated hemolytic uremic syndrome), the opposite is true; higher neutrophil counts are a poor prognostic sign.20 This contrast emphasizes the different pathological mechanisms of microvascular thrombosis in TTP and STX-HUS.
Limitations of our study include the absence of data on drugs, intercurrent illnesses, or other physiological or clinical events that may have contributed to changes in TLCs. However, the phenomenon being consistent across 2 hospitals and multiple patients, we hypothesize that the rise in PLT appears to be largely independent of the causes of the rise in TLC. The time span of our study includes a period before ADAMTS13 testing was readily available or at all standardized, and predates therapeutic advances such as caplacizumab. We therefore did not include ADAMTS13 activity as a parameter in our modeling.","Поскольку наши данные подтверждают, что повышение TLC предвещает разрешение заболевания при TTP, можно отметить, что при STX-HUS (гемолитико-уремическом синдроме, связанном с шига-токсином) верно обратное; более высокие показатели нейтрофилов являются плохим прогностическим признаком.20 Этот контраст подчеркивает различные патологические механизмы микрососудистого тромбоза при TTP и STX-HUS.
Ограничения нашего исследования включают отсутствие данных о препаратах, интеркуррентных заболеваниях или других физиологических или клинических событиях, которые могли способствовать изменениям TLC. Однако, поскольку это явление было постоянным в 2 больницах и у нескольких пациентов, мы предполагаем, что повышение PLT, по-видимому, в значительной степени не зависит от причин повышения TLC. Временной промежуток нашего исследования включает период, когда тестирование ADAMTS13 было легкодоступным или вообще стандартизированным, и предшествовал терапевтическим достижениям, таким как каплацизумаб. Поэтому мы не включили активность ADAMTS13 в качестве параметра в наше моделирование.","Поскольку наши данные подтверждают, что повышение уровня TLC предвещает выздоровление при TTP, можно отметить, что при STX-HUS (гемолитико–уремическом синдроме, связанном с токсином Шига) верно обратное: более высокое количество нейтрофилов является плохим прогностическим признаком.20 Этот контраст подчеркивает различные патологические механизмы микрососудистого тромбоза при TTP и STX-HUS.
Ограничения нашего исследования включают отсутствие данных о лекарственных препаратах, интеркуррентных заболеваниях или других физиологических или клинических явлениях, которые могли бы способствовать изменениям в TLCs. Однако, учитывая, что это явление наблюдается в двух больницах и у нескольких пациентов, мы предполагаем, что рост заболеваемости, по-видимому, в значительной степени не зависит от причин роста TLC. Период нашего исследования охватывает период до того, как тестирование ADAMTS13 стало легкодоступным или вообще стандартизированным, и предшествовал терапевтическим достижениям, таким как применение каплацизумаба. Поэтому мы не включили активность ADAMTS13 в качестве параметра в наше моделирование.","Поскольку наши данные подтверждают, что повышение уровня ТЛК предвещает разрешение заболевания при ТТП, можно отметить, что при STX-HUS (гемолитико-уремическом синдроме, вызванном токсином Шиги) наблюдается обратная картина: повышение количества нейтрофилов является плохим прогностическим признаком.20 Этот контраст подчеркивает различные патологические механизмы микрососудистого тромбоза при ТТП и STX-HUS.
Ограничения нашего исследования включают отсутствие данных о лекарственных препаратах, сопутствующих заболеваниях или других физиологических или клинических событиях, которые могли бы повлиять на изменение КМП. Однако, учитывая, что этот феномен наблюдался в двух больницах и у многих пациентов, мы предположили, что повышение PLT в значительной степени не зависит от причин повышения TLC. Временной интервал нашего исследования включает период до того, как тестирование ADAMTS13 стало легкодоступным или вообще стандартизированным, и предшествовал таким терапевтическим достижениям, как каплацизумаб. Поэтому мы не включали активность ADAMTS13 в качестве параметра в наше моделирование."
medical,2,"Cultural Humility: Given the diverse patient demographics, OTs should adopt cultural humility practices to provide patient-centered care. Cultural humility is a concept of selfreflection, learning from patients’ experiences, acknowledging power dynamics, and challenging individuals to address inequalities (Stubbe, 2020). Cultural humility must be applied within this setting to cultivate a therapeutic relationship with the patient that supports re-engagement in meaningful and cultural-based occupations. It is critical to apply cultural humility and critically analyze potential disparities in healthcare access. Recent studies have identified reduced utilization of occupational therapy services based on socioeconomic, insurance type and ethnicity (Jolley et al., 2022; Kinney et al., 2022). Identification of these disparities in health care access and utilization of cultural humility will better prepare OTs working in general medicine settings","Культурное смирение: учитывая разнообразную демографическую ситуацию пациентов, OT должны принять культурное смирение, чтобы обеспечить уход, ориентированный на пациента. Культурное смирение - это концепция саморефлексии, обучения на опыте пациентов, признания динамики власти и побуждения людей к решению проблем неравенства (Stubbe, 2020). Культурное смирение должно применяться в этой обстановке, чтобы развивать терапевтические отношения с пациентом, которые поддерживают повторное вовлечение в значимые и культурно-ориентированные профессии. Крайне важно применять культурное смирение и критически анализировать потенциальные различия в доступе к здравоохранению. Недавние исследования выявили снижение использования услуг трудотерапии в зависимости от социально-экономического положения, типа страхования и этнической принадлежности (Jolley et al., 2022; Kinney et al.,2022). Выявление этих различий в доступе к здравоохранению и использование культурного смирения лучше подготовит OT, работающих в учреждениях общей медицины.","Культурное смирение: Учитывая разнообразие демографических данных пациентов, OTS следует применять практику культурного смирения, чтобы оказывать помощь, ориентированную на пациента. Культурное смирение - это концепция саморефлексии, изучения опыта пациентов, признания динамики власти и побуждения людей бороться с неравенством (Stubbe, 2020). В таких условиях необходимо проявлять культурное смирение, чтобы развивать терапевтические отношения с пациентом, которые способствуют возобновлению его участия в значимых и основанных на культуре занятиях. Крайне важно, чтобы проявите культурное смирение и критически проанализируйте потенциальные различия в доступе к медицинским услугам. Недавние исследования выявили снижение использования услуг трудотерапии в зависимости от социально-экономического положения, типа страхования и этнической принадлежности (Jolley et al., 2022; Kinney et al.,2022). Выявление этих различий в доступе к медицинскому обслуживанию и использование культурного смирения помогут лучше подготовить специалистов, работающих в медицинских учреждениях общего профиля.","Культурное смирение: Учитывая разнообразный демографический состав пациентов, ОТ должны применять методы культурного смирения. Учитывая разнообразный демографический состав пациентов, ОТ должны применять методы культурного смирения для обеспечения ухода, ориентированного на пациента. Культурное смирение - это концепция самоанализа, обучения на опыте пациентов, признания динамики власти и бросание вызова отдельным людям для устранения неравенства (Stubbe, 2020). Культурное смирение должно применяться в этой обстановке для установления терапевтических отношений с пациентом, которые способствуют возвращению пациента к значимым и культурно обусловленным занятиям. Очень важно применять культурное смирение и критически анализировать потенциальное неравенство в доступе к медицинскому обслуживанию. Недавние исследования показали, что использование услуг трудовой терапии снижается в зависимости от социально-экономического положения, типа страховки и этнической принадлежности (Jolley et al., 2022; Kinney et al,2022). Выявление этих различий в доступе к медицинскому обслуживанию и использование культурного смирение позволит лучше подготовить ОТ, работающих в учреждениях общей медицины."
medical,3,"One-way analysis of variance and the Kruskal-Wallis statistical test procedures both confirmed statistically significant differences in the mean heat output of the 3 different plugger sizes (P < .005). The Tukey post hoc multiple comparison tests indicated that there were no statistically significant differences between the F (0.06 taper) and the FM (0.08 taper) pluggers (P = .583). However, the XF (0.04 taper) pluggers produced significantly lower heat output than both the F (0.06 taper) and FM (0.08 taper) pluggers (P < .005). In addition to lower mean heat output, 3 of the 5 XF (0.04 taper) pluggers lost functionality before reaching 2,000 activations. The Elements unit produced the Check Tip Indicator error indicator for XF (0.04 taper) pluggers 5, 4, and 1 after 238, 313, and 421 activations, respectively. These pluggers remained nonfunctional throughout the remaider of the study.","Однофакторный дисперсионный анализ и статистические тестовые процедуры Краскела-Уоллиса подтвердили статистически значимые различия в средней теплоотдаче 3 различных размеров плаггеров (P < .005). Тесты множественного сравнения Тьюки показали, что статистически значимых различий между плаггерами F (0,06 конусность) и FM (0,08 конусность) не было (P = .583). Однако плаггеры XF (0,04 конусность) производили значительно более низкую теплоотдачу, чем плаггеры F (0,06 конусность) и FM (0,08 конусность) (P < .005). Помимо более низкой средней теплоотдачи, 3 из 5 плаггеров XF (0,04 конусность) потеряли функциональность до достижения 2000 активаций. Блок Elements выдал индикатор ошибки Check Tip Indicator для плаггеров XF (конусность 0,04) 5, 4 и 1 после 238, 313 и 421 активаций соответственно. Эти плаггеры оставались нефункциональными на протяжении всего оставшегося периода исследования.","Односторонний дисперсионный анализ и процедуры статистического тестирования Крускала-Уоллиса подтвердили статистически значимые различия в средней тепловой мощности 3-х насадок разных размеров (P < 0,005). Многократные сравнительные тесты Tukey post hoc показали, что статистически значимых различий между разъемами F (конусность 0,06) и FM (конусность 0,08) не было (P = 0,583). Однако штекеры XF (конусность 0,04) давали значительно меньшую теплоотдачу, чем штекеры F (конусность 0,06) и FM (конусность 0,08) (P < 0,005). В дополнение к снижению средней тепловой мощности, 3 из 5 разъемов XF (конусность 0,04) потеряли работоспособность, не достигнув 2000 включений. Модуль Elements выдал сообщение об ошибке индикатора контрольного наконечника для разъемов XF (конусность 0,04) 5, 4 и 1 после 238, 313 и 421 срабатывания соответственно. Эти разъемы оставались неработоспособными на протяжении всей оставшейся части исследования.","Односторонний дисперсионный анализ и статистический тест Крускала-Уоллиса подтвердили статистически значимые различия в средней тепловой мощности трех различных размеров плаггеров (P < .005). Тесты множественных сравнений Tukey post hoc показали, что статистически значимых различий между плаггерами F (конусность 0,06) и FM (конусность 0,08) не было (P = .583). Однако плагеры XF (конусность 0,04) показали значительно более низкую теплоотдачу, чем плагеры F (конусность 0,06) и FM (конусность 0,08) (P < .005). Помимо более низкой средней теплоотдачи, 3 из 5 плаггеров XF (с конусом 0,04) потеряли работоспособность, не достигнув 2000 активаций. Блок Elements выдал индикатор ошибки Check Tip Indicator для плаггеров XF (с конусом 0,04) 5, 4 и 1 после 238, 313 и 421 активации, соответственно. Эти плаггеры оставались нефункциональными на протяжении всего оставшегося периода исследования."
medical,4,"To further validate FaceFinder, the pipeline on an open-source dataset (Chicago Facial Dataset) of healthy faces was evaluated with all in the front-facing position.23, 24, 25 Minimum neighbor values of 3 and 5 were used for eye and face detection, respectively. With this, the FaceFinder precision, recall, and accuracy score was 1, 0.99, and 0.99, respectively (Supplemental Figure 1).
A selection of false positives is shown in Fig. 3 with the misidentified face and eye regions marked. When using the lowest thresholds (minimum neighbors of 1 for both face and eyes) for detection, features such as braces were detected to be faces and eyes within the image (Fig. 3A). Using minimum neighbors of 3 and 5 for face and eye detection respectively, scars and corners of mouths were erroneously predicted to be eyes resulting in the misclassification of side profile images (Fig. 3B) as front-facing.","Для дальнейшей проверки FaceFinder был оценен конвейер на основе набора данных с открытым исходным кодом (Chicago Facial Dataset) здоровых лиц, все из которых были в положении лицом вперед.23, 24, 25 Для обнаружения глаз и лиц использовались минимальные значения соседей 3 и 5 соответственно. При этом точность, полнота и оценка правильности FaceFinder составляли 1, 0,99 и 0,99 соответственно (дополнительный рисунок 1).
Выборка ложных срабатываний показана на рис. 3 с отмеченными неверно идентифицированными областями лица и глаз. При использовании самых низких порогов (минимальные соседи 1 как для лица, так и для глаз) для обнаружения такие черты, как скобки, были определены как лица и глаза на изображении (рис. 3A). При использовании минимальных соседей 3 и 5 для обнаружения лица и глаз соответственно шрамы и уголки рта были ошибочно идентифицированы как глаза, что привело к неправильной классификации изображений бокового профиля (рис. 3B) как фронтальных.","Для дальнейшей проверки FaceFinder был проанализирован конвейер здоровых лиц из набора данных с открытым исходным кодом (Chicago Facial Dataset). Все лица были повернуты лицевой стороной вперед.23, 24, 25 Минимальные значения соседей, равные 3 и 5, были использованы для определения глаз и лица соответственно. При этом точность распознавания лиц, запоминание и безошибочность результатов составили 1, 0,99 и 0,99 балла соответственно (дополнительный рисунок 1).
Список ложных срабатываний показан на рис. 3, где отмечены неправильно идентифицированные области лица и глаз. При использовании самых низких пороговых значений (минимальное значение соседей, равное 1 как для лица, так и для глаз) для обнаружения таких объектов, как фигурные скобки, было обнаружено, что это лица и глаза на изображении (рис. 3А). При использовании минимальных соседей 3 и 5 для определения лица и глаз соответственно, шрамы и уголки рта были ошибочно приняты за глаза, что привело к ошибочной классификации изображений профиля сбоку (рис. 3B) как обращенных вперед.","Для дальнейшей проверки FaceFinder была проведена оценка работы программы на наборе данных с открытым исходным кодом (Chicago Facial Dataset) здоровых лиц, все из которых были расположены лицом к лицу.23, 24, 25 Для обнаружения глаз и лица использовались минимальные значения соседей 3 и 5, соответственно. Таким образом, точность, отзыв и достоверность FaceFinder составили 1, 0,99 и 0,99 соответственно (Дополнительный рисунок 1).
Выборка ложных срабатываний показана на рис. 3 с отмеченными ошибочными областями лица и глаз. При использовании самых низких порогов (минимум соседей 1 для лица и глаз) для обнаружения такие признаки, как скобки, были признаны лицами и глазами на изображении (рис. 3A). При использовании минимальных значений соседства 3 и 5 для обнаружения лиц и глаз соответственно, шрамы и углы рта ошибочно определялись как глаза, что приводило к ошибочной классификации изображений с боковым профилем (рис. 3B) как обращенных к лицу."
medical,5,"Previous studies assessed trachea abnormalities using the CT TI measurement. A small study (n = 59) by Muro et al.27 showed no difference in CT TI measurements between COPD and non-COPD patients, and no correlation with pulmonary function. However, a larger study (n = 386) by Eom et al. did report differences for TI measurements between those with and without COPD, and correlations with spirometry. The discrepancy may stem from the smaller sample size in the study by Muro et al.,27 and the inability of the TI measurement to fully capture trachea shape abnormalities. In contrast, our findings in a mild COPD cohort demonstrates that the novel CT SRS measurement was better able to quantify differences in trachea surface abnormalities between non-COPD and COPD groups than TI measurements. The SRS measurement considers how the entire trachea surface is distorted, resulting in a more complete characterization of changes to its overall surface topology, even in those with mild COPD.","Предыдущие исследования оценивали аномалии трахеи с использованием измерения КТ TI. Небольшое исследование (n = 59) Муро и соавторов27 не показало разницы в измерениях КТ TI между пациентами с ХОБЛ и без ХОБЛ, а также никакой корреляции с функцией легких. Однако более крупное исследование (n = 386) Эома и соавторов сообщило о различиях в измерениях TI между пациентами с ХОБЛ и без нее, а также о корреляциях со спирометрией. Расхождение может быть связано с меньшим размером выборки в исследовании Муро и соавторов27 и неспособностью измерения TI полностью охватить аномалии формы трахеи. Напротив, наши результаты в когорте с легкой ХОБЛ показывают, что новое измерение КТ SRS лучше способно количественно оценить различия в аномалиях поверхности трахеи между группами без ХОБЛ и ХОБЛ, чем измерения TI. Измерение SRS учитывает, насколько искажена вся поверхность трахеи, что позволяет более полно охарактеризовать изменения ее общей топологии даже у пациентов с легкой формой ХОБЛ.","Предыдущие исследования оценивали аномалии трахеи с помощью измерения TI при компьютерной томографии. Небольшое исследование (n = 59), проведенное Муро и соавт.27, не выявило различий в измерениях TI при компьютерной томографии у пациентов с ХОБЛ и без ХОБЛ, а также корреляции с функцией легких. Однако в более крупном исследовании (n = 386), проведенном Eom и соавт. сообщалось о различиях в измерениях TI между пациентами с ХОБЛ и без нее, а также о корреляциях со спирометрией. Расхождение может быть связано с меньшим размером выборки в исследовании Munro et al.,27 и неспособностью измерения TI полностью отразить аномалии формы трахеи. Напротив, наши результаты в когорте пациентов с ХОБЛ легкой степени тяжести демонстрируют, что новое измерение SRS с помощью компьютерной томографии позволило лучше количественно оценить различия в аномалиях поверхности трахеи между группами, не страдающими ХОБЛ, и группами с ХОБЛ с ХОБЛ, чем измерения TI. При измерении SRS учитывается деформация всей поверхности трахеи, что позволяет получить более полную характеристику изменений в общей топологии ее поверхности даже у пациентов с легкой формой ХОБЛ.","В предыдущих исследованиях аномалии трахеи оценивались с помощью измерения КТ ТИ. Небольшое исследование (n = 59), проведенное Muro et al.27, не выявило различий в измерениях КТ ТИ между пациентами с ХОБЛ и без ХОБЛ, а также корреляции с легочной функцией. Однако в более крупном исследовании (n = 386), проведенном Eom et al., сообщается о различиях в измерениях ТИ между пациентами с ХОБЛ и без нее, а также о корреляции со спирометрией. Это расхождение может быть связано с меньшим размером выборки в исследовании Muro et al.27 и неспособностью измерения TI полностью отразить аномалии формы трахеи. В отличие от этого, наши результаты, полученные в когорте пациентов с легкой ХОБЛ, демонстрируют, что новое измерение КТ SRS лучше определяет различия в аномалиях поверхности трахеи между группами без ХОБЛ и ХОБЛ, чем измерение TI. Измерение SRS учитывает, как искажена вся поверхность трахеи, что позволяет более полно охарактеризовать изменения общей топологии ее поверхности даже у пациентов с легкой ХОБЛ."
medical,6,"That some generic CiPS (Table 2) were highlighted as being covered in more depth was reassuring, including communication, ethical and legal issues and understanding of NHS organisational issues related to integrated care. These are issues not always well taught across an IMT programme, and HAH provides an opportunity to experience these in some depth in a different setting. There was felt to be good coverage of clinical CIPS 4 (community setting and long-term conditions), 6 (multidisciplinary team working and discharge planning and 8 (end of life care and palliative medicine).
Key areas of the curriculum that were felt to be less well covered were management of the acute unselected take. Over 50% of the referrals to the GSTT HAH service are acute referrals from general practice, community teams, care homes and the London Ambulance Service. Though presentations seen in HAH may vary to those seen on a hospital-based acute unselected medical take, this does not equate to a lack of educational opportunities.","То, что некоторые общие CiPS (таблица 2) были выделены как более подробно освещенные, обнадеживает, включая коммуникацию, этические и юридические вопросы и понимание организационных вопросов NHS, связанных с комплексным уходом. Эти вопросы не всегда хорошо преподаются в программе IMT, и HAH дает возможность изучить их более подробно в другой обстановке. Было сочтено, что клинический CIPS 4 (сообщество и долгосрочные состояния), 6 (многопрофильная работа команды и планирование выписки и 8 (уход в конце жизни и паллиативная медицина) хорошо освещен.
Ключевыми областями учебной программы, которые, как считалось, были менее хорошо освещены, были ведение острого невыбранного приема. Более 50% направлений в службу GSTT HAH — это острые направления от общей практики, общественных команд, домов престарелых и Лондонской службы скорой помощи. Хотя презентации, наблюдаемые в HAH, могут отличаться от тех, которые наблюдаются в остром невыбранном медицинском приеме на базе больницы, это не означает отсутствия образовательных возможностей.","Обнадеживает тот факт, что некоторые общие CIP (таблица 2) были выделены как более подробно освещаемые, включая коммуникационные, этические и юридические вопросы и понимание организационных вопросов Национальной службы здравоохранения, связанных с интегрированным уходом. Эти вопросы не всегда хорошо изучаются в рамках программы IMT, и HAH предоставляет возможность изучить их более подробно в другой обстановке. Было отмечено хорошее освещение клинических вопросов 4 (работа в сообществе и долгосрочные условия), 6 (работа мультидисциплинарной команды и планирование выписки) и 8 (уход в конце жизни и паллиативная медицина).
Ключевыми областями учебной программы, которые, как было сочтено, были менее подробно освещены, были вопросы ведения пациентов с острой невыбранной инфекцией. Более 50% обращений в службу GSTT HAH - это обращения от врачей общей практики, общественных бригад, домов престарелых и Лондонской службы скорой помощи. Хотя презентации, которые можно увидеть в HAH, могут отличаться от тех, которые можно увидеть во время срочного невыбранного медицинского осмотра в больнице, это не означает отсутствия возможностей для получения образования.","Обнадеживает тот факт, что некоторые общие CiPS (Таблица 2) были выделены как более углубленные, включая коммуникацию, этические и правовые вопросы и понимание организационных вопросов NHS, связанных с интегрированным уходом. Эти вопросы не всегда хорошо изучаются в рамках программы IMT, а HAH дает возможность глубже изучить их в другой обстановке. Было отмечено хорошее освещение клинических CIPS 4 (общинные условия и долгосрочные состояния), 6 (работа мультидисциплинарных команд и планирование выписки) и 8 (уход в конце жизни и паллиативная медицина).
Ключевыми областями учебной программы, которые, по мнению специалистов, были освещены менее полно, были ведение острых неотборных больных. Более 50 % обращений в службу GSTT HAH - это острые обращения из общей практики, общественных организаций, домов престарелых и Лондонской службы скорой помощи. Хотя презентации, наблюдаемые в HAH, могут отличаться от тех, которые наблюдаются в больничных неотложных состояниях, это не означает недостатка образовательных возможностей."
medical,7,"The strongest evidence linking radon with lung cancer incidence comes from occupational studies of miners as well as radon exposure among smokers. The lack of association between radon exposure and lung cancer risk in our study may be accounted for by the misclassification of individual-level long-term radon exposure as compared to area-level radon exposure. A recent review of studies conducted in the U.S. and Europe on domestic radon exposure concluded that there is considerable uncertainty in the postulated risk estimates for residential radon because of misclassification of smokers, radon dosimetry inaccuracies, differences in histopathological types of lung cancer, and co-exposure of radon with smoking and other indoor air pollutants [Citation34]. Environmental epidemiological studies with robust personal monitoring and biomarkers of exposures are needed to assess the impact of long-term residential radon exposures on the risk of lung cancer.","Наиболее убедительные доказательства, связывающие радон с заболеваемостью раком легких, получены в ходе профессиональных исследований шахтеров, а также воздействия радона среди курильщиков. Отсутствие связи между воздействием радона и риском рака легких в нашем исследовании может быть объяснено неправильной классификацией долгосрочного воздействия радона на индивидуальном уровне по сравнению с воздействием радона на уровне местности. Недавний обзор исследований, проведенных в США и Европе по бытовому воздействию радона, пришел к выводу, что существует значительная неопределенность в постулируемых оценках риска для радона в жилых помещениях из-за неправильной классификации курильщиков, неточностей дозиметрии радона, различий в гистопатологических типах рака легких и совместного воздействия радона с курением и другими загрязнителями воздуха в помещениях [Citation34]. Для оценки влияния долгосрочного воздействия радона в жилых помещениях на риск рака легких необходимы экологические эпидемиологические исследования с надежным персональным мониторингом и биомаркерами воздействия.","Наиболее убедительные доказательства связи радона с заболеваемостью раком легких получены в результате профессиональных исследований шахтеров, а также воздействия радона на курильщиков. Отсутствие связи между воздействием радона и риском развития рака легких в нашем исследовании может быть объяснено неправильной классификацией долгосрочного воздействия радона на индивидуальном уровне по сравнению с воздействием радона на уровне района. Недавний обзор исследований, проведенных в США. и Europe по воздействию радона в домашних условиях пришли к выводу, что существует значительная неопределенность в предполагаемых оценках риска для радона в жилых помещениях из-за неправильной классификации курильщиков, неточностей в дозиметрии радона, различий в гистопатологических типах рака легких и совместного воздействия радона при курении и других загрязнителях воздуха в помещениях [Цитата 34]. Для оценки влияния длительного воздействия радона в жилых помещениях на риск развития рака легких необходимы экологические эпидемиологические исследования с тщательным персональным мониторингом и биомаркерами облучения.","Наиболее убедительные доказательства связи радона с заболеваемостью раком легкого получены в результате профессиональных исследований шахтеров, а также воздействия радона на курильщиков. Отсутствие связи между воздействием радона и риском развития рака легких в нашем исследовании может быть объяснено неправильной классификацией долгосрочного воздействия радона на индивидуальном уровне по сравнению с воздействием радона на уровне района. В недавнем обзоре исследований, проведенных в США и Европе по изучению воздействия радона в жилых помещениях, сделан вывод о значительной неопределенности в предполагаемых оценках риска для радона в жилых помещениях из-за неправильной классификации курильщиков, неточностей дозиметрии радона, различий в гистопатологических типах рака легкого и совместного воздействия радона с курением и другими загрязнителями воздуха в помещениях [Citation34]. Для оценки влияния длительного воздействия радона в жилых помещениях на риск развития рака легкого необходимы экологические эпидемиологические исследования с надежным персональным мониторингом и биомаркерами воздействия."
